line_name,operator_name,day_of_week,hour,avg_arrival_delay,avg_departure_delay,num_trips
EC,Schweizerische Bundesbahnen SBB,Thursday,17.0,1.250877192982456,2.9000000000000004,20
EC,Schweizerische Bundesbahnen SBB,Thursday,18.0,1.675925925925926,2.8333333333333335,19
EC,Schweizerische Bundesbahnen SBB,Thursday,19.0,-0.19,1.1303921568627453,21
EC,Schweizerische Bundesbahnen SBB,Thursday,20.0,1.6259259259259258,4.5406249999999995,19
EC,Schweizerische Bundesbahnen SBB,Thursday,21.0,0.9388888888888888,1.5785714285714287,15
EC,Schweizerische Bundesbahnen SBB,Thursday,22.0,-0.15999999999999998,1.023611111111111,15
EC,Schweizerische Bundesbahnen SBB,Thursday,23.0,10.476666666666667,12.445833333333333,10
EC,Schweizerische Bundesbahnen SBB,Tuesday,0.0,32.36666666666667,39.827777777777776,5
EC,Schweizerische Bundesbahnen SBB,Tuesday,5.0,-0.95,0.4,1
EC,Schweizerische Bundesbahnen SBB,Tuesday,6.0,1.0023809523809526,3.1738095238095236,7
EC,Schweizerische Bundesbahnen SBB,Tuesday,7.0,5.938888888888889,6.656944444444445,12
EC,Schweizerische Bundesbahnen SBB,Tuesday,8.0,5.867708333333334,8.10952380952381,16
EC,Schweizerische Bundesbahnen SBB,Tuesday,9.0,4.415789473684211,7.972549019607843,20
EC,Schweizerische Bundesbahnen SBB,Tuesday,10.0,11.0175,9.596875,20
EC,Schweizerische Bundesbahnen SBB,Tuesday,11.0,1.4254901960784312,3.3611111111111116,19
EC,Schweizerische Bundesbahnen SBB,Tuesday,12.0,5.402777777777778,5.296875,19
EC,Schweizerische Bundesbahnen SBB,Tuesday,13.0,3.5764705882352934,4.866666666666667,17
EC,Schweizerische Bundesbahnen SBB,Tuesday,14.0,7.156349206349207,7.576315789473684,21
EC,Schweizerische Bundesbahnen SBB,Tuesday,15.0,6.303703703703704,4.007843137254902,19
EC,Schweizerische Bundesbahnen SBB,Tuesday,16.0,5.424509803921569,6.066666666666666,17
EC,Schweizerische Bundesbahnen SBB,Tuesday,17.0,6.237301587301588,7.399166666666668,21
EC,Schweizerische Bundesbahnen SBB,Tuesday,18.0,13.896666666666667,13.962962962962964,20
EC,Schweizerische Bundesbahnen SBB,Tuesday,19.0,7.63409090909091,4.177777777777778,22
EC,Schweizerische Bundesbahnen SBB,Tuesday,20.0,4.610526315789474,4.208823529411765,19
EC,Schweizerische Bundesbahnen SBB,Tuesday,21.0,4.102222222222222,4.416666666666666,15
EC,Schweizerische Bundesbahnen SBB,Tuesday,22.0,5.676666666666667,5.402777777777778,15
EC,Schweizerische Bundesbahnen SBB,Tuesday,23.0,5.236666666666666,6.741666666666667,10
EC,Schweizerische Bundesbahnen SBB,Wednesday,0.0,26.066666666666666,34.81666666666667,4
EC,Schweizerische Bundesbahnen SBB,Wednesday,5.0,-1.4166666666666667,0.5666666666666667,1
EC,Schweizerische Bundesbahnen SBB,Wednesday,6.0,0.5571428571428572,1.1071428571428572,7
EC,Schweizerische Bundesbahnen SBB,Wednesday,7.0,1.4944444444444445,3.023611111111111,12
EC,Schweizerische Bundesbahnen SBB,Wednesday,8.0,3.576041666666667,4.158888888888889,16
EC,Schweizerische Bundesbahnen SBB,Wednesday,9.0,6.535087719298245,8.045370370370371,19
EC,Schweizerische Bundesbahnen SBB,Wednesday,10.0,9.746666666666666,8.50686274509804,20
EC,Schweizerische Bundesbahnen SBB,Wednesday,11.0,6.947916666666666,9.053571428571429,16
EC,Schweizerische Bundesbahnen SBB,Wednesday,12.0,12.048039215686273,11.485714285714286,18
EC,Schweizerische Bundesbahnen SBB,Wednesday,13.0,6.793137254901961,7.788235294117648,17
EC,Schweizerische Bundesbahnen SBB,Wednesday,14.0,2.247826086956522,3.103333333333333,23
EC,Schweizerische Bundesbahnen SBB,Wednesday,15.0,2.103921568627451,3.558333333333333,18
EC,Schweizerische Bundesbahnen SBB,Wednesday,16.0,4.180208333333334,2.448611111111111,16
EC,Schweizerische Bundesbahnen SBB,Wednesday,17.0,3.5008771929824563,5.699999999999999,20
EC,Schweizerische Bundesbahnen SBB,Wednesday,18.0,9.764035087719298,11.792156862745099,19
EC,Schweizerische Bundesbahnen SBB,Wednesday,19.0,15.778333333333332,17.716666666666665,21
EC,Schweizerische Bundesbahnen SBB,Wednesday,20.0,19.16111111111111,18.647916666666667,18
EC,Schweizerische Bundesbahnen SBB,Wednesday,21.0,24.990625,22.641111111111112,17
EC,Schweizerische Bundesbahnen SBB,Wednesday,22.0,5.760256410256409,6.540909090909091,13
EC,Schweizerische Bundesbahnen SBB,Wednesday,23.0,17.303333333333335,15.320833333333333,10
EXT,BLS AG (bls),Sunday,10.0,0.4916666666666667,0.2733333333333333,6
EXT,BLS AG (bls),Sunday,12.0,0.4305555555555555,0.6333333333333333,6
EXT,Montreux-Vevey-Riviera (cev),Saturday,6.0,1.0855555555555556,1.3857142857142857,15
EXT,Montreux-Vevey-Riviera (cev),Saturday,7.0,1.3255208333333333,1.7904761904761906,32
EXT,Montreux-Vevey-Riviera (cev),Saturday,8.0,1.957471264367816,2.260666666666667,29
EXT,Montreux-Vevey-Riviera (cev),Saturday,9.0,1.35,1.6666666666666667,4
EXT,Montreux-Vevey-Riviera (cev),Saturday,15.0,3.11025641025641,3.3097222222222222,13
EXT,Montreux-Vevey-Riviera (cev),Saturday,16.0,3.9177083333333336,4.445833333333334,32
EXT,Montreux-Vevey-Riviera (cev),Saturday,17.0,3.9291666666666667,4.330952380952381,32
EXT,Montreux-Vevey-Riviera (cev),Saturday,18.0,11.06764705882353,11.70952380952381,17
EXT,Schweizerische Bundesbahnen SBB,Friday,1.0,-1.6599999999999997,0.5722222222222223,5
EXT,Schweizerische Bundesbahnen SBB,Friday,13.0,0.08333333333333333,2.3555555555555556,3
EXT,Schweizerische Bundesbahnen SBB,Friday,14.0,-3.125,0.6666666666666666,2
EXT,Schweizerische Bundesbahnen SBB,Friday,15.0,4.8500000000000005,6.916666666666667,2
EXT,Schweizerische Bundesbahnen SBB,Friday,16.0,-0.675,0.38333333333333336,2
EXT,Schweizerische Bundesbahnen SBB,Monday,1.0,2.4,2.966666666666667,2
EXT,Schweizerische Bundesbahnen SBB,Monday,8.0,1.7666666666666666,2.9833333333333334,1
